titles,links,content,time,media
藍營日薪千元僱工 割綠營戰旗,https://news.ltn.com.tw/news/local/paper/553815,"屬「烏龍事件」。
昨日上午8時許，男子楊金樹在林內鄉坪頂、烏塗等村，拆除民進黨總統候選人蔡英文、立委候選人劉建國的競選旗幟，再貼上國民黨的競選文宣及布條，雖經路人制止，但楊金樹並未理會，經報警後，警方...",2012/1/13,Liberal Times
台中造勢場超人氣 8選將同台喊8仙過海,https://news.ltn.com.tw/news/local/paper/553812,〔記者唐在馨、張菁雅／台中報導〕主辦單位宣稱，超過十萬民眾昨天擠爆民進黨正副總統候選人蔡英文、蘇嘉全台中造勢晚會，台中市八個選區立委候選人蔡其昌、李順涼、童瑞陽、張廖萬堅、謝明源、林佳龍、何欣純及郭俊銘...,2012/1/13,Liberal Times
彰化拚綠地 小英催票 拉攏傳統產業,https://news.ltn.com.tw/news/local/paper/553810,報導〕民進黨十二日晚上在彰化市林森路夜市舉行「公平正義 改變台灣」晚會，民進黨大咖全到齊，蔡英文到場時，掀起最高潮，「凍蒜」聲不斷，三萬五千多人擠爆現場，大喊「總統蔡英文」、「總統好」。蔡英...,2012/1/13,Liberal Times
總統大選》「蔡英文具備領導人條件」　李遠哲公開力挺,https://news.ltn.com.tw/news/politics/breakingnews/592071,〔即時新聞／綜合報導〕民進黨總統候選人蔡英文今(12)晚在台中舉行造勢大會，中研院前院長李遠哲首度站台，公開助選，掀起晚會最高潮；李遠哲表示，蔡英文擁有一個領導者必須具備的所有能力，他說，「亞洲...,2012/1/12 22:43,Liberal Times
網友KUSO　馬蔡宋變「送酒菜樂團」,https://news.ltn.com.tw/news/politics/breakingnews/591998,"樂團。

　最新的合成照中，3人被套進台灣知名的飛兒樂團專輯封面，宋楚瑜是吉他手阿沁，蔡英文則是女主唱飛兒，馬英九被合成建寧老師，此圖一出，在網路上被瘋狂轉載，許多網友大呼，「農曆過年就是要聽送酒菜...",2012/1/12 19:52,Liberal Times
總統大選》決戰中台灣　綠今晚挺進彰化,https://news.ltn.com.tw/news/politics/breakingnews/591971,"間藍綠兩黨都有大型造勢活動，綠營將在彰化市盛大舉辦超級造勢晚會，希望號召10萬鄉親挺小英，蔡英文說，「幸福4年，就投小英。」

　總統暨立委大選，已進入最後衝刺期，綠營晚間在彰化市林森夜市盛大舉辦超...",2012/1/12 19:00,Liberal Times
總統大選》批馬政績差　宋楚瑜籲換人做,https://news.ltn.com.tw/news/politics/breakingnews/591899,"台灣越來越被韓國看不起，也被中國看不起，他呼籲換人做看看。

　宋楚瑜也直民進黨候選人蔡英文沒有經驗，政策搖搖擺擺，但是，台灣禁不起任何冒險，兩岸要和平，台灣人要有尊嚴，真正有經驗又會做事，讓大家免...",2012/1/12 17:13,Liberal Times
總統大選》余天代言綠營短片　教支持者投票,https://news.ltn.com.tw/news/politics/breakingnews/591857,"、動線指標、圈票處、等待處、印章都仿效投票所。余天說，「用印的時候，慢慢來，要看清楚，好比蔡英文1號，我們就用綁繩子的印章，不要用自己的印章，或手印去蓋，這樣都會變成廢票。」

最後，余天呼籲，「這...",2012/1/12 16:02,Liberal Times
總統大選》小英台中造勢晚會　李遠哲將站台,https://news.ltn.com.tw/news/politics/breakingnews/591834,"〔即時新聞／綜合報導〕媒體報導，前中央研究院長李遠哲，今晚將出席民進黨總統候選人蔡英文在台中市老虎城廣場舉辦造勢晚會，以科學家的名義力挺蔡英文。

2000年總統大選，李遠哲頂著諾貝爾得獎者...",2012/1/12 15:07,Liberal Times
總統大選》李登輝再出招　錄音挺蔡英文,https://news.ltn.com.tw/news/politics/breakingnews/591795,"〔即時新聞／綜合報導〕前總統李登輝繼昨天以親筆信刊登廣告支持民進黨總統候選人蔡英文後，李登輝今天以錄音方式，透過全國各地方電台放送，分別以國、台語，再為蔡英文催票。

李登輝再出招，今天以錄...",2012/1/12 13:54,Liberal Times
